ticker,weight
US2372661015,0.193526
US2383371091,3.6797e-2
US23834J2015,1.3839e-2
US23918K1088,0.102332
US23954D1090,2.662e-3
US24665A1034,9.4861e-2
US24823R1059,1.0634e-2
US24906P1093,7.499e-2
US2528281080,2.009e-3
US2536512021,2.2628e-2
US25400Q1058,1.6473e-2
US25401T6038,3.5347e-2
US2540671011,3.8306e-2
US2546041011,6.246e-3
US25525P1075,2.6532e-2
US25659T1079,3.9732e-2
US2576511099,9.4008e-2
US2577012014,9.373e-3
US25960R1059,1.1672e-2
US26210C1045,5.8237e-2
US26210V1026,1.6952e-2
US2641471097,1.8134e-2
US26603R1068,1.2496e-2
US26622P1075,1.7856e-2
US26701L1008,1.8342e-2
US26740W1099,7.816e-3
US2674751019,8.6043e-2
US26817Q8868,2.535e-2
US26818M1080,8.562e-3
US26856L1035,2.7673e-2
US26884U1097,4.9172e-2
US26969P1084,9.7491e-2
US27579R1041,0.380212
US27627N1054,9.2079e-2
US2772761019,7.1064e-2
US27923Q1094,2.5072e-2
US28036F1057,6.59e-3
US28414H1032,0.135464
US2921041065,2.5674e-2
US29261A1007,0.105563
US29270J1007,6.746e-3
US29275Y1029,9.1611e-2
US29337E1029,3.375e-3
US29358P1012,8.0813e-2
US2935941078,2.972e-3
US2937121059,6.729e-2
US29414B1044,0.150663
US29415C1018,1.051e-3
US29415F1049,7.2266e-2
US29460X1090,1.7352e-2
US29605J1060,6.978e-2
US29667J1016,9.085e-3
US2987361092,7.3839e-2
US29970N1046,3.52e-4
US29977A1051,9.2626e-2
US30041R1086,3.262e-3
US30049H1023,1.507e-3
US30050B1017,2.0106e-2
US30063P1057,6.3276e-2
US30069T1016,2.0293e-2
US30161Q1040,6.6097e-2
US30190A1043,2.8112e-2
US3020811044,4.6459e-2
US30214U1025,2.0467e-2
US3023011063,2.5967e-2
US3024921039,1.0857e-2
US3025201019,0.220113
US30260D1037,6.54e-3
US3029411093,8.6689e-2
US3030751057,0.113675
US3096271073,1.7755e-2
US31188V1008,1.0703e-2
US3131483063,4.2134e-2
US3137451015,8.5402e-2
US3142111034,5.8471e-2
US31846B1089,1.5117e-2
US31847R1023,0.1403
US3193832041,7.3627e-2
US31983A1034,1.5567e-2
US32020R1095,5.5512e-2
US3202181000,2.3484e-2
US3205171057,0.339411
US32054K1034,7.9844e-2
US3208171096,8.8231e-2
US3208661062,2.7781e-2
US3369011032,3.2639e-2
US33748L1017,1.4237e-2
US33767U1079,1.8583e-2
US33768G1076,6.4182e-2
US33829M1018,0.106666
US3383071012,1.1194e-2
US33830T1034,1.2046e-2
US3397501012,9.5132e-2
US3434121022,0.251962
US3434981011,6.9233e-2
US34354P1057,9.0756e-2
US34379V1035,1.1744e-2
US34385P1084,2.756e-3
US3462321015,1.8524e-2
US34964C1062,0.12801
US3546131018,0.206109
US3563901046,1.4672e-2
US3580541049,9.021e-3
US35834F1049,1.711e-3
US35909D1090,0.169846
US35909R1086,9.494e-3
US35953C1062,6.872e-3
US35953D1046,9.884e-3
US3596641098,9.428e-3
US3596941068,7.6601e-2
US3614481030,7.8344e-2
US36164V8000,5.8188e-2
US36262G1013,0.155167
US36317J2096,2.4122e-2
US36467W1099,8.6316e-2
US36472T1097,2.9923e-2
US3647601083,0.140523
US3665051054,3.3013e-2
US3687361044,9.16e-2
US3719011096,9.4597e-2
US3738651047,3.2627e-2
US3741631036,2.793e-3
US37611X2099,6.137e-3
US37637K1088,8.179e-3
US37637Q1058,0.127972
US3765361080,5.924e-3
US37890B1008,9.737e-3
US37892E1029,1.1554e-2
US3789735079,2.584e-3
US3795772082,7.6065e-2
US37959E1029,0.236408
US38246G1085,3.069e-3
US3825501014,0.263813
US3830821043,1.1665e-2
US3846371041,7.9151e-2
US3847471014,2.8923e-2
US38526M1062,4.0549e-2
US3874321074,9.93e-3
US3886891015,0.200667
US3906071093,1.4363e-2
US3909051076,1.903e-2
US3936571013,5.9067e-2
US3976241071,6.731e-2
US3976242061,1.3465e-2
US3981823038,4.7658e-2
US39854F1012,2.68e-4
US3989051095,0.237697
US3994732069,1.494e-3
US40131M1099,3.923e-3
US40145W1018,9.79e-4
US40171V1008,1.9688e-2
US4026355028,6.9558e-2
US4039491000,0.431665
US4041111067,9.435e-3
US4046091090,7.351e-3
US4050241003,4.684e-2
US4051661092,3.316e-3
US40609P1057,3.191e-3
US40637H1095,4.6341e-2
US4074971064,3.0887e-2
US4101201097,0.173584
US41068X1000,3.9902e-2
US4108671052,0.119298
US4128221086,0.115923
US4131971040,2.4962e-2
US4158581094,1.469e-3
US4180561072,0.105925
US42226A1079,4.0603e-2
US42226K1051,7.8263e-2
US42238D1072,2.706e-3
US4227041062,5.1085e-2
US42328H1095,2.7986e-2
US4269271098,2.5965e-2
US42704L1044,0.123988
US42727J1025,9.12e-3
US42806J7000,6.7211e-2
US4281031058,4.6521e-2
US4282911084,5.2878e-2
US4316361090,3.2686e-2
US43283X1054,7.6566e-2
US4330001060,1.1268e-2
US4333131039,2.802e-3
US4335392027,3.206e-3
US4368932004,0.140235
US4404071049,2.7427e-2
US44107P1049,0.204751
US4415931009,6.0779e-2
US4424874018,3.0663e-2
US44267T1025,3.2821e-2
US4440974065,3.3032e-2
US4464131063,0.239077
US4470111075,0.132905
US4474621020,2.9007e-2
US44812J1043,7.1247e-2
US4489475073,1.63e-2
US4491721050,2.1694e-2
US44925C1036,4.2063e-2
US44951W1062,1.9594e-2
US44980X1090,2.7167e-2
US4500561067,4.964e-3
US45073V1089,9.9004e-2
US4510511060,6.843e-3
US4511071064,8.5828e-2
US45166A1025,1.0192e-2
US45256X1037,9.06e-4
US45257U1088,2.825e-3
